cluster_id,rank_within_cluster,writer_id,train_sample_count
0,1,123541,302
0,2,123514,247
0,3,123467,203
0,4,123526,197
0,5,123549,171
0,6,123548,165
0,7,123478,147
0,8,123464,146
0,9,123527,146
0,10,123545,144
0,11,123474,141
0,12,123457,133
0,13,123512,122
0,14,123534,120
0,15,123475,106
0,16,123481,99
0,17,123523,97
0,18,123489,93
0,19,123546,73
0,20,123498,69
0,21,123519,63
0,22,123518,60
0,23,123524,39
0,24,123544,14
1,1,123493,132
1,2,123469,87
1,3,123499,79
1,4,123532,72
1,5,123506,43
1,6,123543,31
2,1,123547,193
2,2,123525,191
2,3,123494,164
2,4,123462,148
2,5,123486,136
2,6,123530,123
2,7,123476,114
2,8,123492,105
2,9,123471,103
2,10,123540,64
2,11,123461,42
3,1,123505,266
3,2,123520,259
3,3,123495,233
3,4,123535,225
3,5,123529,218
3,6,123533,212
3,7,123468,210
3,8,123472,210
3,9,123487,209
3,10,123458,205
3,11,123470,203
3,12,123517,202
3,13,123500,195
3,14,123536,190
3,15,123482,177
3,16,123490,174
3,17,123539,166
3,18,123502,162
3,19,123501,158
3,20,123459,157
3,21,123542,157
3,22,123510,153
3,23,123466,152
3,24,123537,149
3,25,123491,148
3,26,123504,141
3,27,123479,140
3,28,123515,114
3,29,123522,96
3,30,123511,92
3,31,123528,87
3,32,123484,84
3,33,123460,37
3,34,123521,20
